created Logger
gfxInitDefault()
initializing Console
getting font string
Creating Graphics object
Creating Input object
Initializing global api
initialized console
Loading cart
Calling Cart Constructor
getting file contents
Got file contents... parsing cart
Copying data to spritesheet
Copying data to sprite flags
Copying data to sprite flags
Cart Loaded
Starting main loop
block name: CallLuaDraw ms: 54.163647
block name: GetFb ms: 31.478712
block name: GraphicsFlip ms: 32.899589
block name: gfxFlushBuffers ms: 34.977222
block name: gfxSwapBuffers ms: 31.944697
block name: gspWaitForVBlank ms: 47.606145
block name: PostFlip ms: 31.846723
block name: PreUpdate ms: 36.595495
block name: ClearFb ms: 33.007985
block name: SetInputState ms: 32.022858
block name: CallLuaUpdate ms: 49.845300
block name: CallLuaDraw ms: 54.065793
block name: GetFb ms: 31.892219
block name: GraphicsFlip ms: 33.618409
block name: gfxFlushBuffers ms: 33.249563
block name: gfxSwapBuffers ms: 31.973939
block name: gspWaitForVBlank ms: 32.994610
block name: PostFlip ms: 34.588594
block name: PreUpdate ms: 36.626258
block name: ClearFb ms: 32.580014
block name: SetInputState ms: 31.820085
block name: CallLuaUpdate ms: 32.478810
block name: CallLuaDraw ms: 53.845183
block name: GetFb ms: 31.597745
block name: GraphicsFlip ms: 32.950277
block name: gfxFlushBuffers ms: 31.998018
block name: gfxSwapBuffers ms: 37.445931
block name: gspWaitForVBlank ms: 45.199180
block name: PostFlip ms: 31.878732
block name: PreUpdate ms: 37.417338
block name: ClearFb ms: 32.493184
block name: SetInputState ms: 31.620802
block name: CallLuaUpdate ms: 32.356749
block name: CallLuaDraw ms: 54.513986
block name: GetFb ms: 32.770278
block name: GraphicsFlip ms: 33.758992
block name: gfxFlushBuffers ms: 31.926973
block name: gfxSwapBuffers ms: 32.423281
block name: gspWaitForVBlank ms: 33.211705
block name: PostFlip ms: 32.093247
block name: PreUpdate ms: 36.843257
block name: ClearFb ms: 32.418492
block name: SetInputState ms: 32.636326
block name: CallLuaUpdate ms: 43.490542
block name: CallLuaDraw ms: 63.669926
block name: GetFb ms: 32.057381
block name: GraphicsFlip ms: 32.957252
block name: gfxFlushBuffers ms: 32.411487
block name: gfxSwapBuffers ms: 31.649566
block name: gspWaitForVBlank ms: 47.660280
block name: PostFlip ms: 31.723215
block name: PreUpdate ms: 36.580702
block name: ClearFb ms: 32.418910
block name: SetInputState ms: 31.668864
block name: CallLuaUpdate ms: 33.024582
block name: CallLuaDraw ms: 54.459636
block name: GetFb ms: 31.659667
block name: GraphicsFlip ms: 33.175474
block name: gfxFlushBuffers ms: 32.048437
block name: gfxSwapBuffers ms: 31.942168
block name: gspWaitForVBlank ms: 52.392342
block name: PostFlip ms: 38.394244
block name: PreUpdate ms: 37.016147
block name: ClearFb ms: 32.724110
block name: SetInputState ms: 32.489388
block name: CallLuaUpdate ms: 33.294119
block name: CallLuaDraw ms: 57.493355
block name: GetFb ms: 33.270785
block name: GraphicsFlip ms: 33.184791
block name: gfxFlushBuffers ms: 32.715666
block name: gfxSwapBuffers ms: 34.733205
block name: gspWaitForVBlank ms: 35.804675
block name: PostFlip ms: 32.420692
block name: PreUpdate ms: 37.162586
block name: ClearFb ms: 32.762550
block name: SetInputState ms: 31.877800
block name: CallLuaUpdate ms: 32.365342
block name: CallLuaDraw ms: 65.112533
block name: GetFb ms: 38.294495
block name: GraphicsFlip ms: 33.753188
block name: gfxFlushBuffers ms: 32.332975
block name: gfxSwapBuffers ms: 32.053756
block name: gspWaitForVBlank ms: 32.991268
block name: PostFlip ms: 33.037069
block name: PreUpdate ms: 39.348458
block name: ClearFb ms: 32.879359
block name: SetInputState ms: 32.256977
block name: CallLuaUpdate ms: 32.891451
block name: CallLuaDraw ms: 55.448589
block name: GetFb ms: 32.377233
block name: GraphicsFlip ms: 33.152588
block name: gfxFlushBuffers ms: 32.222342
block name: gfxSwapBuffers ms: 33.412443
block name: gspWaitForVBlank ms: 44.087427
block name: PostFlip ms: 31.590986
block name: PreUpdate ms: 43.264234
block name: ClearFb ms: 32.282742
block name: SetInputState ms: 35.197906
block name: CallLuaUpdate ms: 33.270994
block name: CallLuaDraw ms: 55.385018
block name: GetFb ms: 31.904102
block name: GraphicsFlip ms: 33.212906
block name: gfxFlushBuffers ms: 31.855764
block name: gfxSwapBuffers ms: 32.002315
block name: gspWaitForVBlank ms: 41.171033
block name: PostFlip ms: 31.925086
block name: PreUpdate ms: 36.619365
block name: ClearFb ms: 32.588160
block name: SetInputState ms: 32.045521
block name: CallLuaUpdate ms: 35.693505
block name: CallLuaDraw ms: 54.859991
block name: GetFb ms: 45.803920
block name: GraphicsFlip ms: 39.016701
block name: gfxFlushBuffers ms: 32.146575
block name: gfxSwapBuffers ms: 31.936574
block name: gspWaitForVBlank ms: 45.235165
block name: PostFlip ms: 32.720336
Turning off console and exiting logger
