created Logger
gfxInitDefault()
initializing Console
getting font string
Creating Graphics object
Creating Input object
Initializing global api
initialized console
Loading cart
Calling Cart Constructor
getting file contents
Got file contents... parsing cart
Copying data to spritesheet
Copying data to sprite flags
Copying data to sprite flags
Cart Loaded
Starting main loop
block name: CallLuaDraw ms: 73.243826
block name: GetFb ms: 31.630410
block name: GraphicsFlip ms: 33.361650
block name: gfxFlushBuffers ms: 32.103392
block name: gfxSwapBuffers ms: 31.857920
block name: gspWaitForVBlank ms: 43.668050
block name: PostFlip ms: 34.513215
block name: PreUpdate ms: 36.505144
block name: ClearFb ms: 32.225013
block name: SetInputState ms: 31.518420
block name: CallLuaUpdate ms: 32.021344
block name: CallLuaDraw ms: 73.914881
block name: GetFb ms: 33.186074
block name: GraphicsFlip ms: 33.430696
block name: gfxFlushBuffers ms: 33.518682
block name: gfxSwapBuffers ms: 32.218508
block name: gspWaitForVBlank ms: 44.791999
block name: PostFlip ms: 32.700314
block name: PreUpdate ms: 38.518632
block name: ClearFb ms: 35.294172
block name: SetInputState ms: 32.535174
block name: CallLuaUpdate ms: 32.789598
block name: CallLuaDraw ms: 83.460666
block name: GetFb ms: 31.827321
block name: GraphicsFlip ms: 33.314767
block name: gfxFlushBuffers ms: 32.610561
block name: gfxSwapBuffers ms: 31.772023
block name: gspWaitForVBlank ms: 33.057255
block name: PostFlip ms: 31.523015
block name: PreUpdate ms: 36.517863
block name: ClearFb ms: 32.716084
block name: SetInputState ms: 32.138512
block name: CallLuaUpdate ms: 38.877333
block name: CallLuaDraw ms: 76.030304
block name: GetFb ms: 31.647366
block name: GraphicsFlip ms: 32.802712
block name: gfxFlushBuffers ms: 32.332296
block name: gfxSwapBuffers ms: 31.778087
block name: gspWaitForVBlank ms: 41.432953
block name: PostFlip ms: 41.948656
block name: PreUpdate ms: 37.354133
block name: ClearFb ms: 32.363552
block name: SetInputState ms: 32.015175
block name: CallLuaUpdate ms: 32.206640
block name: CallLuaDraw ms: 73.196136
block name: GetFb ms: 32.931009
block name: GraphicsFlip ms: 36.727059
block name: gfxFlushBuffers ms: 31.993207
block name: gfxSwapBuffers ms: 31.603086
block name: gspWaitForVBlank ms: 52.219048
block name: PostFlip ms: 31.978511
block name: PreUpdate ms: 36.801737
block name: ClearFb ms: 32.517010
block name: SetInputState ms: 31.528289
block name: CallLuaUpdate ms: 32.269636
block name: CallLuaDraw ms: 49.437187
block name: GetFb ms: 42.617623
block name: GraphicsFlip ms: 33.279856
block name: gfxFlushBuffers ms: 32.572420
block name: gfxSwapBuffers ms: 32.600543
block name: gspWaitForVBlank ms: 45.537927
block name: PostFlip ms: 32.067743
block name: PreUpdate ms: 37.239084
block name: ClearFb ms: 32.445040
block name: SetInputState ms: 31.706103
block name: CallLuaUpdate ms: 32.439319
block name: CallLuaDraw ms: 56.357866
block name: GetFb ms: 31.884312
block name: GraphicsFlip ms: 32.874592
block name: gfxFlushBuffers ms: 32.154468
block name: gfxSwapBuffers ms: 31.556784
block name: gspWaitForVBlank ms: 33.712750
block name: PostFlip ms: 31.842747
block name: PreUpdate ms: 49.355468
block name: ClearFb ms: 32.505015
block name: SetInputState ms: 32.008633
block name: CallLuaUpdate ms: 32.291231
block name: CallLuaDraw ms: 49.817021
block name: GetFb ms: 31.600363
block name: GraphicsFlip ms: 32.784444
block name: gfxFlushBuffers ms: 32.936917
block name: gfxSwapBuffers ms: 32.052398
block name: gspWaitForVBlank ms: 43.901468
block name: PostFlip ms: 31.643218
block name: PreUpdate ms: 36.297574
block name: ClearFb ms: 32.305002
block name: SetInputState ms: 31.544871
block name: CallLuaUpdate ms: 36.452040
block name: CallLuaDraw ms: 49.786034
block name: GetFb ms: 32.264810
block name: GraphicsFlip ms: 43.500575
block name: gfxFlushBuffers ms: 32.127509
block name: gfxSwapBuffers ms: 32.424937
block name: gspWaitForVBlank ms: 42.778608
block name: PostFlip ms: 31.747727
block name: PreUpdate ms: 37.572333
block name: ClearFb ms: 32.468695
block name: SetInputState ms: 33.301832
block name: CallLuaUpdate ms: 32.614037
block name: CallLuaDraw ms: 56.832250
block name: GetFb ms: 34.463310
block name: GraphicsFlip ms: 32.926548
block name: gfxFlushBuffers ms: 32.107696
block name: gfxSwapBuffers ms: 31.939975
block name: gspWaitForVBlank ms: 45.200075
block name: PostFlip ms: 32.261005
block name: PreUpdate ms: 36.729648
block name: ClearFb ms: 42.665640
block name: SetInputState ms: 31.787084
block name: CallLuaUpdate ms: 32.018099
block name: CallLuaDraw ms: 49.890886
block name: GetFb ms: 32.278267
block name: GraphicsFlip ms: 34.102326
block name: gfxFlushBuffers ms: 32.827082
block name: gfxSwapBuffers ms: 32.537651
block name: gspWaitForVBlank ms: 43.987932
block name: PostFlip ms: 32.056456
block name: PreUpdate ms: 36.935002
block name: ClearFb ms: 32.717367
block name: SetInputState ms: 31.698173
block name: CallLuaUpdate ms: 32.169954
block name: CallLuaDraw ms: 49.678512
block name: GetFb ms: 32.076918
block name: GraphicsFlip ms: 33.792187
block name: gfxFlushBuffers ms: 41.754498
block name: gfxSwapBuffers ms: 31.877195
block name: gspWaitForVBlank ms: 46.361918
block name: PostFlip ms: 34.900195
block name: PreUpdate ms: 36.984355
block name: ClearFb ms: 33.749399
block name: SetInputState ms: 32.004493
block name: CallLuaUpdate ms: 33.422647
block name: CallLuaDraw ms: 57.167036
block name: GetFb ms: 31.477444
block name: GraphicsFlip ms: 32.878322
block name: gfxFlushBuffers ms: 31.880470
block name: gfxSwapBuffers ms: 31.948792
block name: gspWaitForVBlank ms: 44.720850
block name: PostFlip ms: 32.258476
block name: PreUpdate ms: 36.823191
block name: ClearFb ms: 35.354841
block name: SetInputState ms: 41.746636
block name: CallLuaUpdate ms: 32.407064
block name: CallLuaDraw ms: 50.636269
block name: GetFb ms: 32.211556
block name: GraphicsFlip ms: 33.238224
block name: gfxFlushBuffers ms: 32.193660
block name: gfxSwapBuffers ms: 31.625711
block name: gspWaitForVBlank ms: 42.631528
block name: PostFlip ms: 38.217400
block name: PreUpdate ms: 37.214363
block name: ClearFb ms: 32.338227
block name: SetInputState ms: 32.040821
block name: CallLuaUpdate ms: 32.064162
block name: CallLuaDraw ms: 54.005087
block name: GetFb ms: 31.451433
block name: GraphicsFlip ms: 33.161301
block name: gfxFlushBuffers ms: 31.851303
block name: gfxSwapBuffers ms: 42.004058
block name: gspWaitForVBlank ms: 36.784602
block name: PostFlip ms: 31.712510
block name: PreUpdate ms: 37.109400
